  6.0706239828E-12    5.5678667304E-11
  5.8366300367E-12    5.2742974354E-11
  5.6124069163E-12    4.9967229883E-11
  5.3974603254E-12    4.7342350719E-11
  5.1913321141E-12    4.4859814574E-11
  4.9935960384E-12    4.2511618658E-11
  4.8038543209E-12    4.0290242158E-11
  4.6217345239E-12    3.8188612086E-11
  4.4468871965E-12    3.6200072172E-11
  4.2789835251E-12    3.4318354698E-11
  4.1177136149E-12    3.2537554846E-11
  3.9627850418E-12    3.0852107292E-11
  3.8139214795E-12    2.9256764808E-11
  3.6708615632E-12    2.7746578517E-11
  3.5333579778E-12    2.6316879461E-11
  3.4011762567E-12    2.4963261493E-11
  3.2740938602E-12    2.3681565255E-11
  3.1518992687E-12    2.2467863099E-11
  3.0343910702E-12    2.1318445240E-11
  2.9213772645E-12    2.0229806828E-11
  2.8126745999E-12    1.9198636015E-11
  2.7081081622E-12    1.8221803083E-11
  2.6075108921E-12    1.7296350274E-11
  2.5107232804E-12    1.6419482275E-11
  2.4175930292E-12    1.5588557360E-11
  2.3279745957E-12    1.4801078872E-11
  2.2417288921E-12    1.4054687285E-11
  2.1587228275E-12    1.3347152477E-11
  2.0788289003E-12    1.2676366614E-11
  2.0019250004E-12    1.2040337378E-11
  1.9278938448E-12    1.1437181640E-11
  1.8566230372E-12    1.0865119601E-11
  1.7880046895E-12    1.0322469418E-11
  1.7219353669E-12    9.8076419856E-12
  1.6583159011E-12    9.3191362213E-12
  1.5970512780E-12    8.8555343904E-12
  1.5380504798E-12    8.4154977489E-12
  1.4812262592E-12    7.9977622553E-12
  1.4264949752E-12    7.6011344065E-12
  1.3737763261E-12    7.2244874371E-12
  1.3229931922E-12    6.8667573714E-12
  1.2740714725E-12    6.5269397469E-12
  1.2269399596E-12    6.2040862645E-12
  1.1815302421E-12    5.8973017683E-12
  1.1377766630E-12    5.6057414033E-12
  1.0956162246E-12    5.3286078533E-12
  1.0549885133E-12    5.0651487527E-12
  1.0158355941E-12    4.8146541323E-12
  9.7810187880E-13    4.5764539849E-12
